ID;City;Weekdays_WE;Price;room_type;room_shared;room_private;person_capacity;host_is_superhost;multi_room;Buisness_noBuisness;cleanliness_rating;guest_satisfaction_overall;bedrooms;Center_dist;metro_dist;lng;lat
22893;Berlin;Weekdays;339,8149014;Entire home/apt;False;False;3;True;0;0;10;97;1;2,21195013;0,345028371;13,38728;52,53217
22894;Berlin;Weekdays;317,6124147;Entire home/apt;False;False;3;True;0;0;10;98;1;2,940791799;0,797475317;13,40226;52,54838
22895;Berlin;Weekdays;240,7216977;Private room;False;True;2;True;0;0;10;98;1;2,005201417;0,18375374;13,41;52,541
22896;Berlin;Weekdays;171,5434234;Entire home/apt;False;False;4;False;0;0;8;83;2;5,598042735;0,330020646;13,42323;52,47327
22897;Berlin;Weekdays;128,5407123;Private room;False;True;2;True;0;0;9;97;1;6,082618361;1,008475305;13,32735;52,52881
22898;Berlin;Weekdays;394,2694213;Entire home/apt;False;False;5;False;0;0;10;99;4;3,114798598;0,737697104;13,40308;52,55019
22899;Berlin;Weekdays;475,3669253;Entire home/apt;False;False;4;False;0;0;10;100;2;4,282882327;0,273759563;13,36214;52,54294
22900;Berlin;Weekdays;201,6920632;Private room;False;True;3;True;0;0;10;94;1;1,469274768;0,552162662;13,39545;52,52637
22901;Berlin;Weekdays;168,271478;Private room;False;True;2;False;0;0;10;94;1;6,021621845;0,711083599;13,45023;52,47335
22902;Berlin;Weekdays;202,3931944;Private room;False;True;2;True;0;1;10;99;1;5,215590277;0,182457729;13,352;52,498
22903;Berlin;Weekdays;221,7911564;Private room;False;True;2;True;0;1;10;99;1;5,276771914;0,273020207;13,352;52,497
22904;Berlin;Weekdays;221,7911564;Private room;False;True;2;True;0;1;10;99;1;5,276820079;0,27305466;13,352;52,497
22905;Berlin;Weekdays;209,6382163;Private room;False;True;2;True;0;1;10;99;1;5,276798211;0,273042493;13,352;52,497
22906;Berlin;Weekdays;127,6058708;Private room;False;True;2;False;0;0;10;94;1;6,083383056;0,97571093;13,32703;52,5263
22907;Berlin;Weekdays;128,5407123;Private room;False;True;2;True;0;0;9;93;1;5,617708236;0,978262844;13,45327;52,47817
22908;Berlin;Weekdays;1507,43199;Entire home/apt;False;False;2;False;0;0;10;97;1;4,066339536;0,557646063;13,37089;52,5471
22909;Berlin;Weekdays;119,4260073;Private room;False;True;2;True;1;0;9;98;1;6,103372053;0,341551662;13,437;52,47
22910;Berlin;Weekdays;144,9004394;Private room;False;True;3;False;0;0;10;100;1;4,56704121;1,039180263;13,44695;52,4868
22911;Berlin;Weekdays;136,9542862;Private room;False;True;3;True;0;0;10;97;1;5,788600448;0,534261497;13,34609;52,55277
22912;Berlin;Weekdays;278,3490698;Private room;False;True;2;True;1;0;10;96;1;6,13023888;0,575321463;13,44925;52,47206
22913;Berlin;Weekdays;102,1314387;Private room;False;True;2;False;0;0;9;92;1;14,89231102;6,291781748;13,5821;52,43565
22914;Berlin;Weekdays;5857,483407;Entire home/apt;False;False;6;True;0;1;10;100;3;1,192369201;0,463960374;13,399;52,523
22915;Berlin;Weekdays;155,4174067;Private room;False;True;2;False;0;0;10;98;1;3,111744338;0,479059886;13,45862;52,51229
22916;Berlin;Weekdays;487,0524446;Entire home/apt;False;False;4;False;0;0;9;93;2;3,092258989;0,524308901;13,42114;52,55108
22917;Berlin;Weekdays;194,6807516;Entire home/apt;False;False;2;False;0;0;9;89;1;1,827955385;0,83282447;13,42369;52,53927
22918;Berlin;Weekdays;162,4287183;Private room;False;True;2;False;1;0;10;97;1;3,141908152;0,595691672;13,42202;52,55147
22919;Berlin;Weekdays;208,4696644;Private room;False;True;2;True;1;0;10;97;1;2,83655911;0,163897353;13,45656;52,51603
22920;Berlin;Weekdays;128,5407123;Private room;False;True;2;False;0;0;10;94;1;3,633049398;2,651657986;13,45285;52,54744
22921;Berlin;Weekdays;329,297934;Entire home/apt;False;False;4;True;1;0;9;96;1;2,713779299;0,869849842;13,42613;52,54711
22922;Berlin;Weekdays;264,7938674;Entire home/apt;False;False;5;False;0;1;10;93;1;1,77776204;0,853528099;13,4237;52,5388
22923;Berlin;Weekdays;208,235954;Entire home/apt;False;False;3;False;0;1;9;92;1;1,753845383;0,761333207;13,4222;52,53881
22924;Berlin;Weekdays;264,7938674;Entire home/apt;False;False;5;False;0;1;9;90;1;1,650421964;0,880590352;13,42318;52,5377
22925;Berlin;Weekdays;239,3194354;Entire home/apt;False;False;4;False;0;1;9;90;1;1,647530892;0,952835312;13,42421;52,53748
22926;Berlin;Weekdays;253,8094793;Entire home/apt;False;False;4;False;0;1;9;94;1;1,622355471;0,839039371;13,42231;52,53758
22927;Berlin;Weekdays;102,1314387;Private room;False;True;2;False;0;0;10;97;1;10,83113045;1,488596701;13,48822;52,43645
22928;Berlin;Weekdays;148,4060952;Private room;False;True;2;False;0;0;10;96;1;12,81178845;3,693977821;13,40576;52,40845
22929;Berlin;Weekdays;136,7205759;Private room;False;True;2;False;0;0;9;92;1;2,334539367;0,456249991;13,41761;52,5444
22930;Berlin;Weekdays;235,5800692;Entire home/apt;False;False;3;False;0;0;9;98;1;7,30989243;2,450531008;13,38641;52,58651
22931;Berlin;Weekdays;118,2574554;Private room;False;True;2;False;1;0;10;100;1;8,683691998;0,466365864;13,44417;52,44721
22932;Berlin;Weekdays;185,7997569;Private room;False;True;2;False;0;0;10;98;1;2,56489581;0,369926417;13,41636;52,54648
22933;Berlin;Weekdays;115,9203515;Private room;False;True;2;False;1;0;10;96;1;1,704636386;0,908285675;13,424;52,53806
22934;Berlin;Weekdays;111,2461438;Private room;False;True;2;False;0;0;10;95;1;4,476603437;0,355901437;13,41255;52,56359
22935;Berlin;Weekdays;235,5800692;Entire home/apt;False;False;2;True;0;1;10;98;0;3,208444137;0,335464181;13,41566;52,55226
22936;Berlin;Weekdays;288,6323268;Entire home/apt;False;False;5;False;1;0;10;92;2;12,67560898;3,334003548;13,39584;52,41019
22937;Berlin;Weekdays;206,5999813;Entire home/apt;False;False;4;False;1;0;10;90;1;12,48197561;3,1425563;13,39586;52,41194
22938;Berlin;Weekdays;182,9952323;Entire home/apt;False;False;5;True;0;0;10;95;3;8,91901995;2,130560205;13,4183;52,44326
22939;Berlin;Weekdays;153,0803029;Private room;False;True;3;True;1;0;10;97;1;11,39680259;0,809608203;13,4868;52,43039
22940;Berlin;Weekdays;153,0803029;Private room;False;True;2;True;1;0;9;96;1;11,34575577;0,798103793;13,48524;52,43046
22941;Berlin;Weekdays;389,5952136;Private room;False;True;2;False;0;0;9;100;1;1,810071716;0,564231125;13,41959;52,53959
22942;Berlin;Weekdays;191,4088062;Private room;False;True;2;False;0;0;10;96;1;2,956596503;0,562843977;13,42217;52,54978
22943;Berlin;Weekdays;191,4088062;Private room;False;True;4;False;0;0;9;89;2;7,088637732;2,300412417;13,40129;52,58646
22944;Berlin;Weekdays;171,7771338;Private room;False;True;2;True;0;0;10;99;1;6,794865353;0,271055174;13,35799;52,57298
22945;Berlin;Weekdays;113,816958;Private room;False;True;3;False;1;0;9;90;1;12,17974139;0,143980263;13,48435;52,42207
22946;Berlin;Weekdays;162,4287183;Private room;False;True;2;True;0;0;10;100;1;3,396032985;0,52319059;13,4161;52,55395
22947;Berlin;Weekdays;157,5208002;Entire home/apt;False;False;6;False;0;0;10;94;2;12,63503389;3,56258127;13,407;52,41
22948;Berlin;Weekdays;144,9004394;Entire home/apt;False;False;3;False;0;0;8;87;1;7,078883036;2,280352658;13,40243;52,58647
22949;Berlin;Weekdays;185,7997569;Private room;False;True;3;False;1;0;9;83;1;1,522347351;0,984087372;13,42567;52,53593
22950;Berlin;Weekdays;231,840703;Entire home/apt;False;False;4;False;0;0;10;90;0;3,44971729;0,550183602;13,41385;52,55439
22951;Berlin;Weekdays;254,9780312;Entire home/apt;False;False;2;True;0;0;10;100;1;3,143330848;0,901643252;13,42695;52,55096
22952;Berlin;Weekdays;185,5660466;Private room;False;True;2;False;0;1;9;93;1;3,090771586;0,261382613;13,411;52,551
